V1	V2	V3	V4	V5	V6	V7	V8	feature_tmp_anno_homer_anchor1	feature_tmp_anno_homer_anchor2	feature_tmp_ATAC-seq-WT-hct116.peaks.txt_anchor1	feature_tmp_ATAC-seq-WT-hct116.peaks.txt_anchor2	feature_tmp_H3k4me3StdHotspotsRep1.broadPeak_anchor1	feature_tmp_H3k4me3StdHotspotsRep1.broadPeak_anchor2	feature_tmp_HCT-H3k36me3_anchor1	feature_tmp_HCT-H3k36me3_anchor2	feature_tmp_HCT-H3k4me2_anchor1	feature_tmp_HCT-H3k4me2_anchor2	feature_tmp_HCT-H3k79me2_anchor1	feature_tmp_HCT-H3k79me2_anchor2	feature_tmp_HCT-H3k9ac_anchor1	feature_tmp_HCT-H3k9ac_anchor2	feature_tmp_HCT-H3k9me3_anchor1	feature_tmp_HCT-H3k9me3_anchor2	feature_tmp_Hct116CtcfStdPkRep1.narrowPeak_anchor1	feature_tmp_Hct116CtcfStdPkRep1.narrowPeak_anchor2	feature_tmp_Hct116Elf1V0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116Elf1V0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116H3k27acUcdPk.narrowPeak_anchor1	feature_tmp_Hct116H3k27acUcdPk.narrowPeak_anchor2	feature_tmp_Hct116H3k4me1UcdPk.narrowPeak_anchor1	feature_tmp_Hct116H3k4me1UcdPk.narrowPeak_anchor2	feature_tmp_Hct116JundV0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116JundV0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116MaxV0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116MaxV0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116Yy1sc281V0416101PkRep2.broadPeak_anchor1	feature_tmp_Hct116Yy1sc281V0416101PkRep2.broadPeak_anchor2	feature_tmp_MethylRrbsHct116StanfordSitesRep2.bedRrbs_anchor1	feature_tmp_MethylRrbsHct116StanfordSitesRep2.bedRrbs_anchor2	feature_tmp_RNA-seq-peaks.txt_anchor1	feature_tmp_RNA-seq-peaks.txt_anchor2
chr9	37783806	37786241	chr9	38034931	38041461	loop_name_1	1	65	31014	0	15	147.261993	3.80509	0	0	24.58386	18.50515	14.70796	14.83973	35.62587	18.92309	0	0	21	0	299.32	0	6.86571	6.13126	3.80795	4.32234	0	115.66	249.58	0	1390.83	0	2229316845	152157107	316	0
chr16	3148982	3151759	chr16	3198297	3203748	loop_name_2	1	1053	6731	10	0	20.60504	94.323502	0	0	26.69054	42.0505	0	0	7.36737	48.78355	0	0	59	40	0	0	3.5633	22.83258	7.25466	3.59985	0	0	0	292	613.24	1693.45	44102025	121634931	0	177
chr17	73041530	73045103	chr17	73509861	73514580	loop_name_3	1	38	388	0	0	133.089996	122.045998	0	8.87958	44.04757	68.85715	14.85384	14.60512	51.43305	67.80491	0	0	0	265	0	0	19.49876	17.78462	0	3.46145	0	0	0	385.94	2194.24	1465.34	4966953982	11247387111	37	37
chr14	24700061	24703494	chr14	24767495	24770511	loop_name_4	1	150	36	0	0	127.61203	144.251007	3.14677	2.36933	27.45718	31.01009	19.49959	18.00569	45.92324	26.89888	0	0	0	0	127.19	0	8.64087	4.5907	3.263	7.54715	0	0	0	0	358.1	197.04	370525085	569690031	0	0
chr16	28856096	28859209	chr16	30708535	30713013	loop_name_5	1	76	312	0	0	144.376007	141.577026	13.32241	5.85893	21.2998	29.0719	21.48873	15.7119	76.76834	62.37462	0	0	46	0	0	0	5.39103	12.35496	4.75343	0	0	0	0	178.07	1094.91	3295.06	923439919	859889803	757	23
chr11	8984286	8988436	chr11	9158600	9162449	loop_name_6	1	41	44615	0	0	125.626999	0	0	19.73887	23.54663	15.00338	9.12252	0	48.15923	7.80849	0	0	0	118	221.06	0	6.07324	4.4703	3.43704	4.41156	0	468.46	267.4	482.7	620.4	0	548143687	0	136	369
chr22	41839122	41845740	chr22	42015018	42019144	loop_name_7	1	596	20	0	0	133.371994	141.869003	5.82564	3.28513	30.95221	29.02262	30.84064	26.18595	50.01803	74.85346	0	0	0	0	0	0	13.3276	9.06916	0	3.65323	0	0	207.75	0	2833.48	695.34	4686424647	1344541041	78.5	263
chr9	37952111	37955722	chr9	38034931	38041461	loop_name_8	1	49567	31014	0	15	16.35704	3.80509	10.61393	0	19.8981	18.50515	8.48555	14.83973	9.46464	18.92309	2.45135	0	0	0	0	0	8.21246	6.13126	11.27852	4.32234	796.66	115.66	292.98	0	403.01	0	37954183	152157107	0	0
chr19	46008646	46013083	chr19	46232169	46234810	loop_name_9	1	177	661	0	0	119.603249	138.267024	0	0	36.98993	27.42922	23.37907	11.20456	57.48017	48.82873	0	0	30	0	0	596.19	4.94687	2.44575	2.58172	4.95207	0	0	262.38	0	595.56	1442.72	3910926841	1525724099	213	30.5
chr2	111434241	111437565	chr2	112374159	112377367	loop_name_10	1	219	123025	0	0	146.128998	0	0	0	31.21803	16.72342	14.07848	0	28.33041	14.3355	0	0	0	21	0	0	4.29431	3.33111	3.62014	3.60549	0	0	0	115.17	375.62	0	1225791678	224752918	0	0
chr7	73235239	73238925	chr7	73586081	73590630	loop_name_11	1	8111	350	11.5	0	14.82655	137.129492	0	5.37128	33.85911	25.76896	0	31.74789	12.39161	54.26182	0	0	0	0	0	0	8.3794	11.21594	13.01615	5.85091	0	0	0	0	369.66	1383.76	219711126	7873998094	0	0
chr17	36606754	36612457	chr17	36902442	36910508	loop_name_12	2	24886	1188	0	0	76.677881	128.764999	0	6.27029	67.55334	57.15513	14.23949	48.52812	41.6954	92.76438	0	0	0	0	0	248.13	8.3012	17.40425	9.69647	10.26036	0	0	0	0	180.75	2409.71	2599318996	4686979141	0	171
chr12	31741137	31744951	chr12	32551335	32554263	loop_name_13	1	187	86107	13	0	111.446999	129.223999	0	0	22.97657	23.25769	8.27562	6.81793	32.86216	15.48503	0	0	0	47	0	0	14.51781	6.32475	5.89039	0	0	0	0	108.69	0	353.19	2888649871	1790394862	0	25
chr9	37902614	37905955	chr9	38066761	38070887	loop_name_14	2	65	386	10	21.5	138.737	148.790199	0	0	27.20159	61.71563	10.43909	14.1522	26.83276	61.36143	0	0	107	24	0	0	6.6288	12.65075	0	8.52185	0	0	542.98	0	1076.63	356.61	1402443178	6167132487	0	92
chr16	11943921	11946889	chr16	12007702	12011680	loop_name_15	1	37	134	0	0	151.001007	122.510002	4.82618	5.27447	12.29321	20.89422	15.46626	20.35924	78.54368	33.84336	0	0	0	15	0	1089.03	8.94512	13.3931	0	6.74548	0	0	427.49	127.66	1498.43	737.7	107509220	1333053624	267	263
chr5	138939320	138943293	chr5	139046276	139050352	loop_name_16	2	556	6711	0	0	126.502998	17.0455	3.26089	6.71967	25.38494	27.34553	19.68178	5.42721	47.98566	20.00684	0	0	0	14	0	0	16.67165	10.89735	4.03918	16.96457	0	0	166.38	0	1151.25	0	8475407956	2780968203	183	0
chr14	23539029	23542664	chr14	23774460	23777386	loop_name_17	1	68	48	0	0	126.981003	122.806999	9.06084	6.04104	34.60823	29.41506	25.78224	8.0326	51.84409	29.14002	0	0	0	0	0	0	5.15068	4.45642	4.17418	0	0	0	0	0	1769.43	776.97	0	380428502	170	0
chr16	67839296	67841166	chr16	69138584	69142012	loop_name_18	1	324	169	0	0	143.524002	116.982002	0	7.29356	28.1121	75.12987	5.39601	17.61449	48.47485	42.73701	0	0	0	28	0	0	6.38937	13.67594	3.79671	12.17909	0	0	0	166.36	2669.62	443.46	1085448414	5392960108	43	0
chr12	123623595	123628518	chr12	124066458	124070960	loop_name_19	1	31021	165	0	0	30.915209	131.914993	0	0	24.45669	45.9392	23.10828	23.41822	10.07355	50.61305	0	0	0	72	0	614.51	4.30239	4.23475	16.34254	3.36187	177.13	0	0	0	241.57	931.76	0	2729530048	0	776
chr8	94876752	94901131	chr8	94938654	94952426	loop_name_20	67	39405	16261	142.5	77	15.82338	19.34104	17.99087	4.39466	61.5895	40.42597	56.4827	35.45886	90.71502	43.48127	0	5.62973	0	0	759.69	157.28	28.90533	47.4925	51.82485	34.7683	803.14	1088.44	144.93	128.53	3243.76	562.82	189761429	0	0	0
chr7	116309420	116317225	chr7	116439501	116445854	loop_name_21	4	879	59885	0	0	124.017998	26.41142	11.82742	0	21.71995	22.68869	27.11506	0	48.84243	17.84997	3.09703	0	37	28	0	0	10.39736	23.39907	20.01358	30.01778	0	387.55	260.31	349.65	340.64	0	4070921444	0	379	0
chr5	170813268	170816915	chr5	170919279	170924190	loop_name_22	1	384	75068	0	0	132.625	18.465	7.4855	0	48.36651	25.2511	24.72765	0	67.41948	9.95722	0	0	0	0	0	0	20.05807	14.86214	5.81447	10.55209	0	0	1155.87	0	2723.56	414.81	5466084740	854610782	0	0
chr17	57182228	57186202	chr17	57783673	57786614	loop_name_23	1	110	185	0	0	145.272995	145.848999	0	0	47.04976	42.56602	11.92869	40.30321	60.16674	47.93259	0	0	13	0	0	144.67	7.91127	9.15888	5.84723	0	0	0	219.32	174.18	527.96	594.3	2287356005	1040133455	0	0
chr12	76254592	76258856	chr12	76336747	76350450	loop_name_24	3	168832	81957	0	12.5	0	8.54943	0	0	7.87451	26.24851	0	17.29863	10.75009	48.14703	0	0	0	0	0	0	11.27135	93.84877	0	25.94545	487.44	372.44	0	0	109.46	143.94	0	0	25.5	0
chr1	38463508	38468511	chr1	39569792	39573051	loop_name_25	1	5177	21583	0	0	13.13	118.528	6.22192	0	30.00759	22.99047	18.29859	5.06415	12.28109	34.58344	0	0	0	0	0	0	8.59374	7.37618	5.60451	8.84254	0	0	0	0	0	113.94	38466544	4036257900	0	44
chr14	105130849	105135065	chr14	105217805	105221025	loop_name_26	1	1062	55	0	0	19.3266	179.943302	0	0	13.70625	59.79251	0	14.63996	15.79601	85.46446	0	0	52	0	0	0	6.67482	13.6902	12.38702	8.83613	0	0	0	0	748.7	279.03	0	2420029732	0	200
chr3	185244541	185246260	chr3	185261234	185264362	loop_name_27	1	24968	7571	0	0	7.81829	2.31236	0	0	17.86883	32.06966	0	0	10.27346	5.1619	0	0	8	0	0	0	3.86679	4.66522	10.44486	11.06782	246.22	0	118.93	0	164.41	0	0	0	0	0
chr21	43296577	43300744	chr21	44297491	44301237	loop_name_28	1	930	21	0	0	121.393809	144.796997	0	6.62261	49.81819	23.28305	6.85382	25.38533	84.04566	44.23346	0	3.6332	0	0	0	211.42	12.48968	8.25441	4.89618	0	0	0	379.49	896.21	298.15	314.89	3896942176	1639075604	0	0
chrX	118601859	118604227	chrX	118635254	118638695	loop_name_29	1	18	33892	0	0	101.510002	4.98984	8.95957	0	17.59994	16.047	15.64861	0	51.64056	7.71641	0	0	28	0	0	0	9.19675	9.5254	0	6.00029	0	0	290.03	0	561.09	135.48	7353363304	0	926	0
chr19	14315419	14319174	chr19	14357610	14360026	loop_name_30	1	300	41821	0	0	71.302803	32.5065	0	0	23.98423	23.29404	15.897	0	20.57355	11.07997	0	0	0	0	0	0	11.97256	9.16764	0	0	0	0	0	0	1081.56	830.65	372248796	114869909	22.5	0
chr1	192775630	192781052	chr1	192941125	192954186	loop_name_31	2	172	30269	0	0	131.912994	49.655749	10.43944	2.77507	26.29108	39.5202	6.55173	14.80998	38.60763	44.64185	0	0	11	0	0	0	3.04206	11.9373	3.50282	20.02513	0	1105.3	272.37	143.3	319.13	233.38	6747229554	0	129	0
chr13	95951510	95955401	chr13	97900449	97934400	loop_name_32	1	244	42875	0	9	117.960428	53.41749	0	10.78551	33.25687	85.87166	12.13048	109.15803	34.27522	76.0628	0	0	0	46	0	0	13.3947	83.49559	14.05672	104.51286	0	2770.37	1081.28	413.32	231.96	236.59	5085539035	97917067	70.5	609
chr9	33875626	33877992	chr9	34071976	34074348	loop_name_33	1	57553	24215	9.5	0	12.8018	0	0	0	14.86068	16.646	14.52024	0	8.33507	3.1657	0	0	0	89	0	0	4.51547	2.74505	8.9496	3.31013	105.72	0	110.77	0	0	143.8	0	68145935	0	0
chr17	63778142	63782789	chr17	64502961	64507102	loop_name_34	1	42195	92060	0	29	10.67878	22.03531	0	0	19.39798	15.48643	0	0	5.06349	9.93051	0	0	0	0	122.72	0	2.74311	1.96189	2.62338	2.48804	765.94	407.39	238.67	0	333.3	172.78	0	0	0	0
chrX	119003994	119007335	chrX	119075829	119078334	loop_name_35	1	69	653	9	0	110.737	116.415001	0	0	27.95285	19.98307	21.46847	10.48174	42.53916	23.06988	0	0	0	0	164.44	0	12.42376	12.802	0	0	0	0	167.04	0	118.23	1101.96	3094149616	2024314758	505	158
chr17	74348518	74351660	chr17	74782461	74784941	loop_name_36	1	141	11425	0	0	133.522995	4.26938	0	0	24.86454	8.08568	8.57013	0	41.58662	4.97333	0	0	30	0	0	0	5.95156	2.71692	0	4.48415	0	0	0	0	3100	0	4609681191	74783020	52.5	0
chr11	533602	538942	chr11	703579	709145	loop_name_37	1	705	242	27	0	107.940002	117.334999	5.47529	0	76.09386	38.92852	15.54238	17.26019	65.12349	42.04275	0	0	7	15	0	0	27.57574	24.20842	3.35971	9.93768	0	0	190.56	0	447.52	112.6	95865801	76267970	149	90.5
chr7	100229027	100232115	chr7	100322530	100324649	loop_name_38	1	702	5167	0	0	66.740929	16.853701	0	0	40.20378	25.79375	0	0	34.42704	6.28797	0	0	111	92	0	0	8.63729	4.24871	0	6.27283	0	0	357.41	0	519.3	0	2004623356	0	0	0
chr3	48486531	48489510	chr3	49065435	49067944	loop_name_39	1	93	185	0	0	116.859001	118.486	2.69194	16.03451	23.29666	28.80414	13.6144	13.93334	35.72708	60.47942	0	0	0	0	0	0	5.87111	3.46663	0	0	0	0	177	105.92	616.25	498.28	1309181965	147199556	0	368
chr7	25003711	25007433	chr7	25017425	25022479	loop_name_40	4	14259	121	0	0	0	107.028999	0	0	14.05755	28.51121	6.32132	9.68107	3.0011	36.44815	0	0	0	65	0	0	2.22978	6.45666	4.86162	10.78618	0	0	156.98	0	130.07	504.05	0	1726357140	0	97.5
chr12	62859411	62862053	chr12	63116802	63121678	loop_name_41	1	135	121774	0	0	152.401993	12.79745	0	0	16.70233	26.67349	11.01228	0	34.82148	27.86819	0	0	0	0	299.52	0	2.20187	4.92384	0	7.68381	0	955.04	0	0	2284.43	178.83	2451561762	0	153	0
chr19	1257279	1277532	chr19	2149492	2152317	loop_name_42	1	1859	720	21.5	19.5	259.297601	139.531401	24.71033	3.45803	165.4347	61.11997	40.31408	14.28355	183.43524	68.8762	0	0	100	0	191.01	241	67.13823	5.22493	24.41663	0	0	0	324.49	335.67	4171.29	2403.33	366907586	165663737	1477	48.5
chr1	78443160	78446521	chr1	78468143	78472655	loop_name_43	3	1	113	0	0	146.052994	99.628313	4.84534	0	22.06175	21.59068	22.35139	7.37644	74.18705	25.09765	0	0	36	0	0	0	9.89488	4.20512	0	7.42648	0	384.41	0	118.28	3100	277.18	1568899139	235406114	178	489
chr10	3802853	3806636	chr10	3823588	3830285	loop_name_44	5	22728	536	0	0	44.0172	217.393196	0	12.01016	36.28131	60.28465	0	22.38857	16.48724	85.86129	0	0	0	0	0	0	4.51575	21.2929	8.98263	7.76079	435.25	0	0	0	0	301.37	41859408	459193375	0	0
chr7	130534620	130541142	chr7	131578750	131582257	loop_name_45	1	23688	14475	0	0	7.39223	0	14.03685	0	12.90132	7.13293	14.578	0	13.3249	15.31895	3.27347	0	0	0	0	0	21.79458	3.64904	8.7976	0	1126.14	622.46	446.37	0	208.67	243.71	0	0	0	0
chr9	139303299	139306956	chr9	139920847	139924184	loop_name_46	1	74	224	0	0	158.360992	177.075599	6.28318	0	55.00656	86.10167	32.30314	4.76118	102.07566	56.98268	0	0	0	218	0	0	9.03471	19.81167	6.33373	7.83064	0	0	379.92	0	3100	0	6686623255	12593044369	92	0
chr6	24493962	24496353	chr6	25277721	25281302	loop_name_47	1	39	144	55.5	48	60.342201	140.904999	0	0	31.70226	36.51423	0	4.06389	12.66282	22.23048	0	0	31	30	0	0	6.43305	3.90927	0	6.19731	0	0	0	0	364.65	445.18	979811181	935357167	0	118
chr5	131890810	131895050	chr5	132297146	132300586	loop_name_48	1	314	488	0	0	141.820007	135.445007	0	2.69194	16.09219	26.09666	30.22149	19.0132	39.17537	23.46346	0	0	0	0	974.67	0	13.7242	11.13614	0	4.67437	0	0	495.27	202.65	419.46	510.76	5803280530	9525547356	231	74.5
chr15	99269290	99273190	chr15	99342468	99346283	loop_name_49	2	56415	16721	11	0	11.3672	4.26938	0	0	28.16744	30.32853	2.6315	0	24.86015	7.17087	0	0	0	0	0	0	16.71847	8.46584	10.61756	9.51067	228.37	192.26	0	0	0	0	1687609396	0	0	0
chr2	20645475	20649279	chr2	20782437	20785648	loop_name_50	2	545	8265	0	0	105.956001	7.81829	5.96514	0	26.91688	27.29407	10.95385	0	40.97438	14.32811	0	2.78427	8	0	0	0	6.34451	8.75758	8.48393	7.82314	0	165	0	0	708.69	0	2436358015	0	953	0
chr1	153916104	153919705	chr1	153957240	153960423	loop_name_51	1	1249	21	0	45.5	92.9804	86.326302	3.2354	0	30.42502	25.79939	9.37519	5.7495	48.42766	25.28887	0	0	97	44	0	0	18.89022	10.99929	3.58909	3.26124	0	0	0	0	323.42	401.3	15545793045	1231670651	56	86.5
chr19	5902514	5904924	chr19	6423066	6426846	loop_name_52	1	305	134	28.5	26.5	163.531998	161.502305	3.81307	2.53359	26.19179	51.01525	21.27674	21.04515	82.18265	60.94306	0	0	0	40	0	0	5.39381	9.48654	0	3.42954	0	0	0	0	572.95	316.76	153515463	199176219	387	38.5
chr22	50698087	50702293	chr22	50719391	50724285	loop_name_53	1	49	13016	0	0	94.646901	10.3155	0	15.87027	32.09401	23.24272	16.28386	9.73869	46.10057	12.95192	0	0	0	0	0	0	6.69536	10.39882	3.27599	13.00337	0	131.62	0	0	0	274.06	6540285357	2079554449	86.5	202
