loop	type
chr22 38290514 38294289 chr22 38680609 38682339 . 1	pro-strong_enh
chr5 96033605 96042289 chr5 96259190 96260539 . 2	pro-pro
chr1 23665194 23673403 chr1 24097536 24108995 . 19	pro-pro
chr3 176676833 176679516 chr3 176741264 176748850 . 14	pro-weak_enh
chr11 63604132 63609924 chr11 63751693 63756217 . 28	pro-inactivate
chr10 4905979 4915367 chr10 5970350 5979910 . 3	pro-strong_enh
chr17 37005563 37012402 chr17 38801324 38806978 . 1	pro-pro
chr3 138311141 138315068 chr3 138482903 138484460 . 4	pro-pro
chr11 126078482 126084019 chr11 126210767 126227804 . 57	pro-pro
chr4 95127011 95131876 chr4 96107651 96110642 . 1	pro-pro
chr11 46525620 46530481 chr11 46581207 46584242 . 5	pro-weak_enh
chr1 160161313 160165499 chr1 161507892 161515426 . 1	pro-inactivate
chr1 32679863 32683227 chr1 32771996 32778759 . 14	pro-inactivate
chr6 26658391 26662213 chr6 27054784 27056740 . 3	pro-pro
chr16 79444973 79448325 chr16 80000789 80008921 . 2	pro-inactivate
chr16 8035118 8047374 chr16 8157003 8165598 . 45	pro-inactivate
chr6 15724502 15726115 chr6 15915063 15917081 . 2	pro-inactivate
chr11 65639754 65642631 chr11 66600757 66613231 . 1	pro-pro
chr8 117701387 117710347 chr8 117772556 117781733 . 44	pro-inactivate
chr5 139025207 139055446 chr5 139989892 139992924 . 4	pro-pro
chr1 24619540 24622612 chr1 25893607 25898093 . 1	pro-inactivate
chr17 42170901 42176434 chr17 43211935 43215318 . 1	pro-weak_enh
chr3 138326216 138329487 chr3 138402146 138410037 . 23	pro-inactivate
chr1 32340330 32365980 chr1 32685096 32691905 . 27	pro-strong_enh
chr14 31516002 31532412 chr14 31548982 31551140 . 140	pro-weak_enh
chr5 148179097 148189518 chr5 148808086 148812048 . 1	pro-weak_enh
chr16 87884666 87890720 chr16 87893487 87895631 . 104	pro-strong_enh
chr13 50507688 50513814 chr13 50758170 50790022 . 4	pro-pro
chr1 19494344 19498961 chr1 19651028 19653743 . 4	pro-inactivate
chr1 113117468 113119926 chr1 113158596 113170204 . 21	inactivate-strong_enh
chr19 50963393 50965546 chr19 52690873 52696337 . 1	pro-inactivate
chr3 45986917 45993758 chr3 47864375 47871384 . 1	pro-inactivate
chr1 43307449 43315974 chr1 44511624 44516364 . 1	pro-inactivate
chr11 76152627 76158831 chr11 77488413 77490316 . 1	pro-pro
chr1 19802158 19805480 chr1 19834865 19836989 . 6	pro-inactivate
chr17 40162277 40166054 chr17 40537715 40542720 . 5	pro-strong_enh
chr8 129437853 129444338 chr8 130684694 130715388 . 7	pro-strong_enh
chr8 105536702 105560948 chr8 105625762 105638344 . 158	pro-strong_enh
chr9 136211638 136230356 chr9 137028149 137032031 . 9	pro-strong_enh
chr1 28741321 28746477 chr1 29056796 29086554 . 7	pro-inactivate
chr5 89838327 89864037 chr5 89879729 89886984 . 9	pro-strong_enh
chr1 1289967 1296101 chr1 2572225 2575679 . 1	pro-inactivate
chr17 8120996 8131780 chr17 8229065 8230780 . 28	pro-pro
chrX 131050209 131053627 chrX 131118333 131122895 . 11	pro-strong_enh
chr16 30364073 30370127 chr16 30824594 30827116 . 1	pro-pro
chr7 44833693 44840026 chr7 44861822 44873334 . 102	pro-pro
chr12 69186198 69187945 chr12 69198962 69204882 . 76	pro-inactivate
chr20 33286526 33308092 chr20 34040481 34046077 . 6	pro-weak_enh
chr19 46261188 46284863 chr19 47758114 47763223 . 1	pro-pro
chr18 2947065 2948874 chr18 3437268 3463100 . 1	pro-pro
chr10 99443153 99451867 chr10 101377060 101384367 . 1	pro-pro
chr9 33402433 33404161 chr9 34629136 34659781 . 2	pro-pro
chr1 221893678 221900829 chr1 222637418 222640397 . 10	pro-strong_enh
chr10 6510692 6519168 chr10 7147954 7150765 . 5	pro-strong_enh
chr16 14171110 14172820 chr16 14495673 14497730 . 1	pro-weak_enh
chr15 64427908 64430776 chr15 65713372 65715823 . 1	pro-inactivate
chr5 54598602 54613320 chr5 55287405 55295617 . 12	pro-strong_enh
chr11 68187948 68190258 chr11 69202304 69232001 . 2	pro-inactivate
chr1 204667754 204689330 chr1 205223910 205227018 . 13	pro-strong_enh
chr1 203649139 203656528 chr1 204144861 204147827 . 5	pro-strong_enh
chr3 32532187 32550219 chr3 33688301 33706543 . 9	pro-strong_enh
chr12 121770894 121773206 chr12 121903093 121906366 . 4	pro-inactivate
chr4 127647542 127668228 chr4 127671072 127676355 . 6	pro-weak_enh
chr20 48687170 48688862 chr20 48722417 48737147 . 17	pro-weak_enh
chr16 29971205 29975754 chr16 30073543 30091890 . 93	pro-pro
chr6 53208336 53218308 chr6 53478699 53483407 . 1	pro-pro
chr11 9189838 9192729 chr11 9265109 9267243 . 3	pro-strong_enh
chr1 38409184 38415605 chr1 39872670 39876328 . 2	pro-pro
chr13 30877075 30886234 chr13 31035852 31043421 . 66	pro-pro
chr1 43909250 43922793 chr1 44455735 44458334 . 11	pro-pro
chr19 10206162 10208305 chr19 10370193 10372006 . 6	pro-inactivate
chr7 6093361 6100799 chr7 6309064 6313286 . 26	pro-pro
chr3 16075337 16076984 chr3 16303119 16310586 . 1	pro-strong_enh
chr17 75115676 75125670 chr17 76731709 76734226 . 1	pro-weak_enh
chr12 56649935 56654417 chr12 56860478 56865446 . 17	pro-pro
chr18 53026973 53030447 chr18 54302527 54308273 . 2	pro-inactivate
chr10 15644687 15646877 chr10 15825760 15862181 . 7	pro-strong_enh
chr21 35439250 35465483 chr21 36693517 36722679 . 3	pro-weak_enh
chr12 6538581 6541137 chr12 6639666 6656498 . 35	pro-weak_enh
chr17 44846458 44853727 chr17 46553961 46557180 . 1	pro-strong_enh
chr1 27992159 27996798 chr1 28380636 28387475 . 2	pro-strong_enh
chr3 47513406 47525846 chr3 48122564 48125092 . 1	pro-weak_enh
chr1 227124173 227134231 chr1 228325618 228338957 . 2	pro-pro
chr12 111010922 111023714 chr12 112274233 112286280 . 5	pro-strong_enh
chr5 171430201 171436766 chr5 172320550 172336593 . 7	pro-pro
chr10 72316660 72320764 chr10 72376638 72380532 . 1	pro-weak_enh
chr16 23518582 23523944 chr16 25055102 25062840 . 3	pro-inactivate
chr14 61187367 61192920 chr14 61567107 61573277 . 12	pro-pro
chr6 14972441 14974110 chr6 15159252 15161787 . 3	pro-strong_enh
chr1 1289967 1296101 chr1 1581751 1584528 . 6	pro-inactivate
chr9 98822673 98824391 chr9 99997678 100003654 . 1	pro-weak_enh
chr11 64569936 64571928 chr11 65396840 65413373 . 2	pro-pro
chr3 196156248 196161260 chr3 196480736 196482566 . 4	pro-pro
chr3 196694584 196699014 chr3 196942271 196944217 . 2	pro-pro
chrX 37467690 37477767 chrX 37612825 37616164 . 8	pro-inactivate
chr1 167296693 167300106 chr1 168341026 168345251 . 1	pro-inactivate
chr1 32107608 32112654 chr1 32814249 32820444 . 2	pro-pro
chr6 28045913 28050927 chr6 28315226 28326879 . 147	pro-pro
chr1 236685169 236689800 chr1 236713339 236715183 . 3	pro-pro
chr18 207589 216469 chr18 666711 696274 . 3	pro-inactivate
chr2 10455539 10457311 chr2 11269182 11274511 . 1	pro-strong_enh
chr3 128112932 128115309 chr3 128117696 128124074 . 36	pro-inactivate
chr4 108944212 108946820 chr4 109085423 109091614 . 4	pro-inactivate
chr4 38621674 38624199 chr4 39526366 39532222 . 1	pro-strong_enh
chr4 123620219 123623014 chr4 123712657 123734024 . 3	pro-weak_enh
chr11 16393350 16406760 chr11 17095622 17102332 . 1	pro-strong_enh
chr10 75806724 75808176 chr10 75933088 75940280 . 5	pro-inactivate
chr5 173226220 173229010 chr5 173351027 173352983 . 2	pro-strong_enh
chr18 51792888 51798904 chr18 52547556 52549954 . 1	pro-pro
chr8 28809853 28812060 chr8 29169414 29172858 . 1	pro-strong_enh
chr21 45155647 45162163 chr21 45482811 45486002 . 1	pro-inactivate
chr17 7216298 7221046 chr17 7304985 7309680 . 6	pro-inactivate
chr3 5013042 5042135 chr3 5389094 5392936 . 3	pro-weak_enh
chr8 131514616 131516905 chr8 131683641 131686241 . 2	pro-strong_enh
chr19 49239610 49246759 chr19 50073144 50075601 . 1	pro-pro
chr21 34891255 34902276 chr21 35573250 35576528 . 4	pro-inactivate
chr6 68685084 68687121 chr6 68733987 68740603 . 2	pro-inactivate
chr12 8204701 8206388 chr12 8394302 8396986 . 5	pro-strong_enh
chr12 51609290 51614588 chr12 52277086 52280868 . 1	pro-pro
chr9 95438676 95440565 chr9 95819022 95825067 . 1	pro-strong_enh
chr1 110184949 110186993 chr1 110197358 110199985 . 39	inactivate-inactivate
chr6 35224811 35232781 chr6 35418071 35423147 . 103	pro-pro
chr15 41981044 41984638 chr15 42771815 42811123 . 5	pro-inactivate
chr16 57734001 57736858 chr16 58032418 58037522 . 18	pro-inactivate
chr3 101236096 101238996 chr3 101497190 101498818 . 1	pro-pro
chr3 47828445 47832724 chr3 49169176 49172416 . 1	pro-inactivate
chr4 83342304 83363159 chr4 84201877 84208280 . 17	pro-pro
chr7 133999108 134003658 chr7 134130814 134135800 . 2	pro-pro
chr17 38517839 38521222 chr17 38536168 38538161 . 53	pro-inactivate
chr4 76645930 76653255 chr4 77175679 77178655 . 1	pro-pro
chr17 44342947 44346082 chr17 45567882 45572119 . 3	pro-strong_enh
chr9 96336266 96341158 chr9 96559173 96582616 . 7	pro-inactivate
chr11 68712663 68714028 chr11 69194261 69201217 . 2	pro-strong_enh
